cluster_type,LET,inner_pixels,energy,lw_ratio,density,pixel_count,frame
SMALL_BLOB,0.068,0,34.0,1,1,1,350
SMALL_BLOB,0.026,0,13.0,1,1,1,352
SMALL_BLOB,0.204,0,102.0,1,1,2,357
LIGHT_TRACK,1.18,2,590.0,2.0,1.75,7,366
LIGHT_TRACK,0.873,0,437.0,4.667,1.667,7,366
LIGHT_TRACK,1.198,0,600.0,6.5,1.731,9,370
SMALL_BLOB,0.258,0,129.0,1,1,1,371
LIGHT_TRACK,1.09,0,545.0,4.0,2.5,5,373
SMALL_BLOB,0.328,0,164.0,1,1,2,382
LIGHT_TRACK,1.748,0,874.0,3.5,0.857,12,383
SMALL_BLOB,0.258,0,129.0,1,1,1,383
LIGHT_TRACK,2.705,3,1355.0,2.267,0.567,17,388
SMALL_BLOB,0.276,0,138.0,1,1,1,390
LIGHT_TRACK,1.288,0,644.0,2.0,2.5,5,411
HEAVY_TRACK,2.211,5,1106.0,1.5,1.667,10,421
SMALL_BLOB,0.378,0,189.0,1,1,2,423
SMALL_BLOB,0.06,0,30.0,1,1,1,423
LIGHT_TRACK,3.758,0,1904.0,3.413,0.328,24,431
LIGHT_TRACK,5.477,4,2766.0,2.857,0.457,32,447
SMALL_BLOB,0.811,0,406.0,1.0,2.0,4,458
LIGHT_TRACK,1.06,0,530.0,3.0,2.0,6,460
SMALL_BLOB,0.114,0,57.0,1,1,1,476
SMALL_BLOB,0.308,0,154.0,2.0,3.0,3,476
SMALL_BLOB,0.092,0,46.0,1,1,1,478
SMALL_BLOB,0.036,0,18.0,1,1,1,480
SMALL_BLOB,0.152,0,76.0,1,1,1,481
LIGHT_TRACK,1.153,0,577.0,5.0,1.75,7,482
SMALL_BLOB,0.288,0,144.0,1,1,1,501
LIGHT_TRACK,2.053,0,1034.0,7.1,0.766,16,506
SMALL_BLOB,0.152,0,76.0,1,1,1,526
SMALL_BLOB,0.342,0,171.0,1,1,2,539
STRAIGHT_TRACK,1.197,0,600.0,10.0,2.0,10,540
SMALL_BLOB,0.152,0,76.0,1,1,2,546
SMALL_BLOB,0.2,0,100.0,1,1,1,550
LIGHT_TRACK,0.752,0,376.0,2.0,2.5,5,565
STRAIGHT_TRACK,2.846,0,1430.0,20.0,1.1,22,567
SMALL_BLOB,0.532,0,266.0,2.0,3.0,3,574
SMALL_BLOB,0.166,0,83.0,1,1,2,585
LIGHT_TRACK,0.943,0,472.0,4.833,1.333,8,588
SMALL_BLOB,0.104,0,52.0,1,1,1,589
LIGHT_TRACK,1.096,0,549.0,7.0,1.651,8,592
STRAIGHT_TRACK,1.901,0,953.0,15.0,1.2,18,593
SMALL_BLOB,0.362,0,181.0,1,1,1,593
SMALL_BLOB,0.104,0,52.0,1,1,1,597
SMALL_BLOB,0.394,0,197.0,1.0,4.0,4,599
SMALL_BLOB,0.268,0,134.0,1,1,1,602
SMALL_BLOB,0.214,0,107.0,1,1,2,614
SMALL_BLOB,0.56,0,280.0,1,1,3,621
LIGHT_TRACK,2.46,0,1240.0,6.182,0.62,16,622
SMALL_BLOB,0.282,0,141.0,1,1,1,632
SMALL_BLOB,0.242,0,121.0,1,1,1,643
SMALL_BLOB,0.032,0,16.0,1,1,1,649
SMALL_BLOB,0.468,0,234.0,1.0,3.0,3,652
LIGHT_TRACK,7.834,4,4263.0,4.177,0.154,67,659
LIGHT_TRACK,5.457,5,2755.0,1.041,0.26,40,659
SMALL_BLOB,0.618,0,309.0,1.0,3.0,3,665
LIGHT_TRACK,0.973,0,487.0,7.0,1.714,6,665
SMALL_BLOB,0.086,0,43.0,1,1,1,675
SMALL_BLOB,0.178,0,89.0,1,1,1,676
