cluster_type,LET,inner_pixels,energy,lw_ratio,density,pixel_count
SMALL_BLOB,0.178,0,89.0,1,1,1
SMALL_BLOB,0.068,0,34.0,1,1,1
SMALL_BLOB,0.853,0,427.0,3.0,2.667,4
SMALL_BLOB,0.076,0,38.0,1,1,1
HEAVY_TRACK,19.203,6,9606.0,1.5,1.833,11
SMALL_BLOB,0.777,0,389.0,3.0,2.667,4
SMALL_BLOB,0.18,0,90.0,1,1,2
SMALL_BLOB,0.584,0,292.0,1,1,2
SMALL_BLOB,0.182,0,91.0,1,1,2
SMALL_BLOB,0.104,0,52.0,1,1,2
LIGHT_TRACK,1.146,0,574.0,5.75,1.413,10
SMALL_BLOB,0.905,0,453.0,1,1,4
SMALL_BLOB,0.192,0,96.0,1,1,2
SMALL_BLOB,0.08,0,40.0,1,1,1
SMALL_BLOB,0.5,0,250.0,1.0,3.0,3
SMALL_BLOB,0.924,0,462.0,1.0,3.0,3
SMALL_BLOB,0.404,0,202.0,1,1,2
SMALL_BLOB,0.23,0,115.0,1,1,1
LIGHT_TRACK,1.36,0,681.0,4.167,1.167,7
SMALL_BLOB,0.138,0,69.0,1,1,1
LIGHT_TRACK,1.63,0,816.0,2.4,0.833,10
SMALL_BLOB,0.704,0,352.0,1.0,3.0,3
SMALL_BLOB,0.849,0,425.0,1.0,4.0,4
LIGHT_TRACK,1.129,3,565.0,2.8,1.286,9
LIGHT_TRACK,1.031,0,516.0,3.75,1.517,7
SMALL_BLOB,0.29,0,145.0,1.0,3.0,3
SMALL_BLOB,0.118,0,59.0,1,1,2
SMALL_BLOB,0.694,0,347.0,1,1,1
SMALL_BLOB,0.997,0,499.0,3.0,2.667,4
SMALL_BLOB,0.08,0,40.0,1,1,1
LIGHT_TRACK,1.246,0,624.0,5.0,1.8,9
SMALL_BLOB,0.102,0,51.0,1,1,1
SMALL_BLOB,0.807,0,404.0,2.5,2.0,4
SMALL_BLOB,0.27,0,135.0,1,1,2
SMALL_BLOB,0.142,0,71.0,1,1,1
SMALL_BLOB,0.743,0,372.0,1.0,4.0,4
LIGHT_TRACK,1.035,0,518.0,4.333,1.538,6
SMALL_BLOB,0.831,0,416.0,3.0,2.667,4
STRAIGHT_TRACK,1.513,0,761.0,9.8,1.214,14
SMALL_BLOB,0.488,0,244.0,1,1,2
SMALL_BLOB,0.07,0,35.0,1,1,1
LIGHT_TRACK,0.957,0,479.0,4.5,1.667,6
LIGHT_TRACK,1.221,0,611.0,3.0,2.0,6
SMALL_BLOB,0.422,0,211.0,1,1,2
LIGHT_TRACK,1.197,0,599.0,6.0,1.5,9
LIGHT_TRACK,1.148,0,575.0,5.667,1.569,8
LIGHT_TRACK,2.196,1,1100.0,4.111,0.937,12
LIGHT_TRACK,1.422,0,712.0,6.5,1.538,8
SMALL_BLOB,0.768,0,384.0,1.0,3.0,3
LIGHT_TRACK,1.225,2,613.0,3.0,2.333,7
SMALL_BLOB,0.256,0,128.0,1,1,1
SMALL_BLOB,0.316,0,158.0,1,1,2
SMALL_BLOB,0.723,0,362.0,1.0,2.0,4
LIGHT_TRACK,1.527,0,766.0,6.0,1.111,12
LIGHT_TRACK,1.431,0,717.0,7.5,1.667,10
SMALL_BLOB,0.126,0,63.0,1,1,1
SMALL_BLOB,0.256,0,128.0,1,1,1
SMALL_BLOB,0.294,0,147.0,1,1,2
SMALL_BLOB,0.216,0,108.0,1,1,2
STRAIGHT_TRACK,1.602,0,806.0,11.6,1.255,14
SMALL_BLOB,0.124,0,62.0,1,1,1
SMALL_BLOB,0.214,0,107.0,1,1,2
SMALL_BLOB,0.1,0,50.0,1,1,1
LIGHT_TRACK,1.808,0,904.0,3.0,0.917,11
STRAIGHT_TRACK,1.112,0,557.0,9.0,2.0,9
SMALL_BLOB,0.096,0,48.0,1,1,1
LIGHT_TRACK,1.171,0,586.0,3.333,1.667,5
SMALL_BLOB,0.072,0,36.0,1,1,1
SMALL_BLOB,0.454,0,227.0,1,1,2
SMALL_BLOB,0.808,0,404.0,1.0,3.0,3
LIGHT_TRACK,1.354,0,678.0,4.5,1.444,8
