cluster_type,LET,inner_pixels,energy,lw_ratio,density,pixel_count
LIGHT_TRACK,1.233,0,617.0,3.0,2.333,7
SMALL_BLOB,0.372,0,186.0,1,1,2
SMALL_BLOB,0.28,0,140.0,1,1,2
SMALL_BLOB,0.717,0,359.0,3.0,2.667,4
SMALL_BLOB,0.372,0,186.0,1,1,2
SMALL_BLOB,0.614,0,307.0,1.0,3.0,3
STRAIGHT_TRACK,1.314,0,659.0,11.0,1.818,10
SMALL_BLOB,0.116,0,58.0,1,1,1
SMALL_BLOB,0.29,0,145.0,1,1,2
LIGHT_TRACK,0.963,0,482.0,4.0,1.875,6
SMALL_BLOB,0.168,0,84.0,1,1,1
SMALL_BLOB,0.05,0,25.0,1,1,1
SMALL_BLOB,0.14,0,70.0,1,1,1
SMALL_BLOB,0.108,0,54.0,1,1,1
SMALL_BLOB,0.12,0,60.0,1,1,1
SMALL_BLOB,0.27,0,135.0,1,1,2
SMALL_BLOB,0.504,0,252.0,1,1,2
SMALL_BLOB,0.774,0,387.0,1.0,3.0,3
SMALL_BLOB,0.044,0,22.0,1,1,1
LIGHT_TRACK,2.212,0,1113.0,6.438,0.722,14
SMALL_BLOB,0.51,0,255.0,1,1,2
SMALL_BLOB,0.238,0,119.0,1,1,2
LIGHT_TRACK,2.693,2,1354.0,3.833,0.616,17
LIGHT_TRACK,1.476,1,738.0,1.0,1.75,7
SMALL_BLOB,0.096,0,48.0,1,1,1
SMALL_BLOB,0.212,0,106.0,1,1,1
SMALL_BLOB,0.172,0,86.0,1,1,1
SMALL_BLOB,0.438,0,219.0,5.0,3.0,3
SMALL_BLOB,0.592,0,296.0,1.0,4.0,4
LIGHT_TRACK,1.384,0,693.0,7.0,1.429,10
SMALL_BLOB,0.454,0,227.0,1,1,2
LIGHT_TRACK,1.07,1,535.0,1.0,1.75,7
SMALL_BLOB,0.212,0,106.0,1,1,1
SMALL_BLOB,0.426,0,213.0,1,1,2
HEAVY_TRACK,2.358,5,1181.0,1.933,0.867,13
SMALL_BLOB,0.406,0,203.0,1.0,4.0,4
SMALL_BLOB,0.22,0,110.0,1,1,1
SMALL_BLOB,0.372,0,186.0,1,1,2
LIGHT_TRACK,2.675,0,1346.0,6.333,0.76,15
SMALL_BLOB,0.21,0,105.0,1,1,1
LIGHT_TRACK,0.996,0,498.0,3.0,1.667,5
SMALL_BLOB,0.19,0,95.0,1,1,1
SMALL_BLOB,0.18,0,90.0,1,1,1
SMALL_BLOB,0.104,0,52.0,1,1,2
SMALL_BLOB,0.078,0,39.0,1,1,1
SMALL_BLOB,0.07,0,35.0,1,1,1
SMALL_BLOB,0.606,0,303.0,1.0,4.0,4
STRAIGHT_TRACK,2.386,0,1205.0,10.667,1.042,20
SMALL_BLOB,0.386,0,193.0,1,1,2
LIGHT_TRACK,1.906,1,954.0,2.778,1.0,9
STRAIGHT_TRACK,2.266,0,1141.0,12.143,1.176,14
SMALL_BLOB,0.114,0,57.0,1,1,1
SMALL_BLOB,0.23,0,115.0,1,1,1
SMALL_BLOB,0.18,0,90.0,1,1,1
SMALL_BLOB,0.312,0,156.0,2.0,3.0,3
SMALL_BLOB,0.328,0,164.0,1,1,1
SMALL_BLOB,0.1,0,50.0,1,1,1
LIGHT_TRACK,1.4,0,701.0,5.25,1.393,9
SMALL_BLOB,0.586,0,293.0,1.0,4.0,4
SMALL_BLOB,0.32,0,160.0,1,1,1
LIGHT_TRACK,3.36,1,1695.0,2.895,0.358,22
LIGHT_TRACK,1.836,1,921.0,6.0,1.204,13
LIGHT_TRACK,1.026,0,513.0,3.0,2.0,6
LIGHT_TRACK,1.743,0,875.0,2.485,0.455,15
STRAIGHT_TRACK,2.105,0,1059.0,9.875,1.187,15
SMALL_BLOB,0.098,0,49.0,1,1,1
SMALL_BLOB,0.128,0,64.0,1,1,1
SMALL_BLOB,0.176,0,88.0,1,1,1
SMALL_BLOB,0.198,0,99.0,1,1,1
STRAIGHT_TRACK,2.401,0,1212.0,8.619,0.756,17
LIGHT_TRACK,1.327,4,664.0,3.0,2.667,8
SMALL_BLOB,0.426,0,213.0,1.0,3.0,3
LIGHT_TRACK,1.62,2,810.0,6.0,1.667,10
SMALL_BLOB,0.584,0,292.0,1,1,2
SMALL_BLOB,0.122,0,61.0,1,1,1
SMALL_BLOB,0.14,0,70.0,1,1,1
SMALL_BLOB,0.082,0,41.0,1,1,1
SMALL_BLOB,0.486,0,243.0,1,1,2
SMALL_BLOB,0.562,0,281.0,1.0,3.0,3
LIGHT_TRACK,1.102,0,551.0,4.0,1.75,7
SMALL_BLOB,0.568,0,284.0,1,1,3
LIGHT_TRACK,1.32,0,660.0,3.0,2.0,6
LIGHT_TRACK,4.406,0,2300.0,7.5,0.325,39
SMALL_BLOB,0.737,0,369.0,1.0,4.0,4
SMALL_BLOB,0.448,0,224.0,1,1,2
HEAVY_TRACK,2.062,6,1031.0,5.0,2.2,11
SMALL_BLOB,0.586,0,293.0,1.0,4.0,4
LIGHT_TRACK,1.48,0,740.0,5.0,1.6,8
SMALL_BLOB,0.486,0,243.0,1.0,4.0,4
LIGHT_TRACK,1.968,4,985.0,2.75,1.25,11
LIGHT_TRACK,1.101,2,551.0,4.0,2.0,8
LIGHT_TRACK,2.085,0,1050.0,6.348,0.652,15
SMALL_BLOB,0.749,0,375.0,1.0,4.0,4
SMALL_BLOB,0.132,0,66.0,1,1,1
HEAVY_TRACK,5.737,15,2886.0,3.111,0.696,27
STRAIGHT_TRACK,1.776,0,893.0,9.2,1.19,15
SMALL_BLOB,0.27,0,135.0,1,1,1
SMALL_BLOB,0.146,0,73.0,1,1,1
SMALL_BLOB,0.536,0,268.0,1,1,2
SMALL_BLOB,0.126,0,63.0,1,1,1
SMALL_BLOB,0.3,0,150.0,1,1,1
SMALL_BLOB,0.878,0,439.0,2.0,3.0,3
SMALL_BLOB,0.264,0,132.0,1,1,2
SMALL_BLOB,0.378,0,189.0,1,1,2
SMALL_BLOB,0.212,0,106.0,1,1,1
SMALL_BLOB,0.156,0,78.0,1,1,1
SMALL_BLOB,0.292,0,146.0,1,1,2
SMALL_BLOB,0.192,0,96.0,1,1,1
LIGHT_TRACK,0.99,0,495.0,3.0,2.0,6
SMALL_BLOB,0.328,0,164.0,1,1,2
STRAIGHT_TRACK,2.092,0,1053.0,10.499,1.214,15
SMALL_BLOB,1.545,0,773.0,1.0,2.0,4
LIGHT_TRACK,1.7,4,850.0,3.0,2.667,8
SMALL_BLOB,0.142,0,71.0,1,1,1
SMALL_BLOB,0.148,0,74.0,1,1,1
LIGHT_TRACK,1.713,1,857.0,1.667,1.2,9
STRAIGHT_TRACK,1.859,0,934.0,9.143,1.281,14
LIGHT_TRACK,1.536,0,769.0,4.667,1.339,9
SMALL_BLOB,0.286,0,143.0,1,1,1
HEAVY_TRACK,2.225,6,1113.0,2.5,1.3,13
LIGHT_TRACK,0.806,0,403.0,2.0,2.5,5
HEAVY_TRACK,3.295,5,1652.0,2.981,0.387,24
SMALL_BLOB,0.186,0,93.0,1,1,1
SMALL_BLOB,0.194,0,97.0,1,1,1
SMALL_BLOB,0.41,0,205.0,1,1,2
SMALL_BLOB,0.534,0,267.0,1,1,1
MEDIUM_BLOB,1.643,2,822.0,1.0,1.556,7
SMALL_BLOB,0.046,0,23.0,1,1,1
LIGHT_TRACK,2.351,2,1181.0,5.357,0.829,15
SMALL_BLOB,0.416,0,208.0,1.0,3.0,3
LIGHT_TRACK,0.919,0,460.0,4.5,1.667,6
STRAIGHT_TRACK,4.423,0,2304.0,26.173,1.074,35
SMALL_BLOB,0.166,0,83.0,1,1,1
SMALL_BLOB,0.286,0,143.0,1.0,3.0,3
SMALL_BLOB,0.498,0,249.0,1.0,4.0,4
SMALL_BLOB,0.286,0,143.0,1,1,1
SMALL_BLOB,1.297,0,649.0,1.0,4.0,4
SMALL_BLOB,0.26,0,130.0,1,1,1
SMALL_BLOB,0.194,0,97.0,1,1,1
LIGHT_TRACK,1.764,0,883.0,3.5,1.143,8
SMALL_BLOB,0.366,0,183.0,1,1,1
SMALL_BLOB,0.106,0,53.0,1,1,1
SMALL_BLOB,0.488,0,244.0,2.0,2.0,4
SMALL_BLOB,0.394,0,197.0,1,1,2
SMALL_BLOB,0.436,0,218.0,1,1,2
SMALL_BLOB,0.32,0,160.0,1,1,2
SMALL_BLOB,0.184,0,92.0,1,1,1
LIGHT_TRACK,1.607,0,806.0,7.25,1.345,12
SMALL_BLOB,0.066,0,33.0,1,1,1
SMALL_BLOB,0.1,0,50.0,1,1,1
STRAIGHT_TRACK,1.37,0,688.0,10.0,1.333,12
HEAVY_TRACK,3.452,8,1730.0,2.143,0.81,17
STRAIGHT_TRACK,2.588,0,1297.0,9.846,0.679,20
