cluster_type,LET,inner_pixels,energy,lw_ratio,density,pixel_count
SMALL_BLOB,0.212,0,106.0,1,1,2
LIGHT_TRACK,1.701,0,853.0,6.833,1.297,11
SMALL_BLOB,0.062,0,31.0,1,1,1
LIGHT_TRACK,0.981,0,491.0,5.0,1.733,6
SMALL_BLOB,0.146,0,73.0,1,1,1
LIGHT_TRACK,1.577,0,791.0,7.8,1.41,11
SMALL_BLOB,0.376,0,188.0,1,1,1
SMALL_BLOB,0.286,0,143.0,1,1,1
SMALL_BLOB,0.468,0,234.0,1.0,3.0,3
LIGHT_TRACK,2.538,2,1270.0,4.5,0.889,16
SMALL_BLOB,0.398,0,199.0,1.0,4.0,4
STRAIGHT_TRACK,1.654,0,830.0,8.5,1.375,11
LIGHT_TRACK,1.274,0,638.0,4.5,1.444,8
SMALL_BLOB,0.06,0,30.0,1,1,1
LIGHT_TRACK,1.92,3,961.0,3.0,1.5,9
LIGHT_TRACK,1.022,0,511.0,3.0,2.0,6
SMALL_BLOB,0.338,0,169.0,2.0,3.0,3
HEAVY_TRACK,3.675,10,1843.0,3.667,1.03,17
SMALL_BLOB,0.52,0,260.0,1,1,2
LIGHT_TRACK,1.382,0,692.0,5.333,1.458,7
SMALL_BLOB,0.056,0,28.0,1,1,1
SMALL_BLOB,0.636,0,318.0,1,1,2
SMALL_BLOB,0.322,0,161.0,1,1,2
SMALL_BLOB,0.182,0,91.0,1,1,2
SMALL_BLOB,0.182,0,91.0,1,1,1
SMALL_BLOB,0.426,0,213.0,1,1,1
LIGHT_TRACK,1.469,0,735.0,3.5,1.429,8
SMALL_BLOB,0.834,0,417.0,1.0,3.0,3
STRAIGHT_TRACK,1.422,0,713.0,10.0,2.0,10
SMALL_BLOB,0.628,0,314.0,1,1,1
SMALL_BLOB,0.084,0,42.0,1,1,1
LIGHT_TRACK,3.002,0,1508.0,2.793,0.559,18
SMALL_BLOB,0.52,0,260.0,2.0,3.0,3
SMALL_BLOB,0.424,0,212.0,1.0,4.0,4
SMALL_BLOB,0.104,0,52.0,1,1,1
LIGHT_TRACK,2.065,2,1033.0,1.857,1.143,8
SMALL_BLOB,0.084,0,42.0,1,1,1
LIGHT_TRACK,1.78,3,891.0,2.143,1.114,9
SMALL_BLOB,0.408,0,204.0,1,1,2
SMALL_BLOB,0.176,0,88.0,1,1,1
SMALL_BLOB,0.578,0,289.0,1,1,4
SMALL_BLOB,0.08,0,40.0,1,1,1
SMALL_BLOB,0.534,0,267.0,1,1,1
SMALL_BLOB,0.314,0,157.0,1,1,2
LIGHT_TRACK,1.11,0,555.0,2.0,2.5,5
LIGHT_TRACK,2.664,0,1343.0,4.171,0.483,19
LIGHT_TRACK,1.385,0,693.0,4.0,1.422,7
LIGHT_TRACK,0.952,0,476.0,3.5,1.786,5
SMALL_BLOB,0.222,0,111.0,1,1,1
SMALL_BLOB,0.657,0,329.0,1.0,4.0,4
LIGHT_TRACK,2.055,1,1028.0,1.667,1.2,9
SMALL_BLOB,0.326,0,163.0,1,1,2
SMALL_BLOB,0.098,0,49.0,1,1,1
SMALL_BLOB,0.883,0,442.0,1,1,4
SMALL_BLOB,0.366,0,183.0,1,1,2
LIGHT_TRACK,0.814,0,407.0,4.0,2.5,5
SMALL_BLOB,0.102,0,51.0,1,1,1
SMALL_BLOB,0.188,0,94.0,1,1,2
SMALL_BLOB,0.272,0,136.0,1,1,2
LIGHT_TRACK,3.097,4,1554.0,2.889,0.684,16
SMALL_BLOB,0.104,0,52.0,1,1,1
LIGHT_TRACK,2.373,0,1187.0,3.5,0.786,11
SMALL_BLOB,0.19,0,95.0,1,1,1
SMALL_BLOB,0.784,0,392.0,1.0,3.0,3
LIGHT_TRACK,4.076,3,2049.0,2.091,0.435,22
LIGHT_TRACK,2.388,2,1196.0,3.1,1.029,11
LIGHT_TRACK,1.963,0,982.0,1.333,0.833,10
SMALL_BLOB,0.532,0,266.0,2.0,3.0,3
SMALL_BLOB,0.21,0,105.0,1,1,1
SMALL_BLOB,0.76,0,380.0,1,1,2
SMALL_BLOB,0.308,0,154.0,1,1,2
SMALL_BLOB,0.907,0,454.0,3.0,2.667,4
LIGHT_TRACK,1.325,0,663.0,5.0,1.75,7
SMALL_BLOB,0.939,0,470.0,3.0,2.667,4
SMALL_BLOB,0.174,0,87.0,1,1,1
STRAIGHT_TRACK,1.38,0,691.0,8.0,2.25,9
SMALL_BLOB,0.402,0,201.0,1,1,2
SMALL_BLOB,0.096,0,48.0,1,1,1
LIGHT_TRACK,3.61,3,1826.0,4.429,0.455,24
LIGHT_TRACK,2.641,1,1321.0,1.0,1.75,7
SMALL_BLOB,0.422,0,211.0,3.0,2.667,4
SMALL_BLOB,0.088,0,44.0,1,1,1
SMALL_BLOB,0.206,0,103.0,1,1,2
LIGHT_TRACK,10.2,0,7027.0,18.941,0.253,120
SMALL_BLOB,0.416,0,208.0,1,1,1
SMALL_BLOB,0.16,0,80.0,1,1,1
SMALL_BLOB,0.486,0,243.0,1.0,4.0,4
SMALL_BLOB,0.627,0,314.0,2.0,2.0,4
LIGHT_TRACK,1.06,0,531.0,6.0,1.458,7
SMALL_BLOB,0.238,0,119.0,1,1,2
LIGHT_TRACK,2.913,3,1463.0,2.857,0.618,19
SMALL_BLOB,0.54,0,270.0,1.0,4.0,4
SMALL_BLOB,0.776,0,388.0,1.0,3.0,3
SMALL_BLOB,0.152,0,76.0,1,1,1
STRAIGHT_TRACK,1.724,0,864.0,10.0,2.2,11
SMALL_BLOB,0.929,0,465.0,2.0,2.0,4
LIGHT_TRACK,1.778,0,890.0,3.417,0.5,12
SMALL_BLOB,1.157,0,579.0,1.0,4.0,4
SMALL_BLOB,0.146,0,73.0,1,1,1
SMALL_BLOB,0.196,0,98.0,1,1,1
LIGHT_TRACK,3.914,0,1971.0,1.846,0.304,21
SMALL_BLOB,0.284,0,142.0,1,1,1
LIGHT_TRACK,3.702,0,1890.0,6.0,0.382,27
STRAIGHT_TRACK,3.943,0,2000.0,8.696,0.715,24
SMALL_BLOB,0.378,0,189.0,1,1,2
SMALL_BLOB,0.148,0,74.0,1,1,1
LIGHT_TRACK,4.788,0,2480.0,8.312,0.401,35
SMALL_BLOB,0.932,0,466.0,1.0,3.0,3
SMALL_BLOB,0.3,0,150.0,1,1,1
LIGHT_TRACK,2.002,0,1006.0,5.111,0.667,13
SMALL_BLOB,0.056,0,28.0,1,1,1
SMALL_BLOB,0.941,0,471.0,1.0,4.0,4
LIGHT_TRACK,0.961,1,481.0,2.667,1.458,7
SMALL_BLOB,0.42,0,210.0,1,1,2
LIGHT_TRACK,0.644,0,322.0,5.0,2.4,6
SMALL_BLOB,0.456,0,228.0,1.0,4.0,4
SMALL_BLOB,0.14,0,70.0,1,1,1
SMALL_BLOB,0.222,0,111.0,1,1,2
LIGHT_TRACK,2.625,3,1315.0,2.909,0.886,12
SMALL_BLOB,0.04,0,20.0,1,1,1
SMALL_BLOB,0.328,0,164.0,1,1,2
SMALL_BLOB,0.272,0,136.0,1,1,1
LIGHT_TRACK,0.946,0,473.0,2.0,2.5,5
SMALL_BLOB,0.172,0,86.0,1,1,1
SMALL_BLOB,0.296,0,148.0,1,1,2
SMALL_BLOB,0.384,0,192.0,1,1,2
LIGHT_TRACK,2.264,0,1134.0,4.333,1.282,10
LIGHT_TRACK,1.436,0,719.0,2.833,0.917,11
LIGHT_TRACK,1.129,0,565.0,4.0,1.422,7
SMALL_BLOB,0.192,0,96.0,1,1,1
SMALL_BLOB,0.12,0,60.0,1,1,1
LIGHT_TRACK,1.398,0,700.0,5.25,1.393,9
SMALL_BLOB,0.426,0,213.0,1,1,1
SMALL_BLOB,0.084,0,42.0,1,1,1
SMALL_BLOB,0.106,0,53.0,1,1,1
LIGHT_TRACK,1.746,2,873.0,5.0,1.8,9
STRAIGHT_TRACK,2.711,0,1374.0,13.857,1.152,23
SMALL_BLOB,0.118,0,59.0,1,1,1
SMALL_BLOB,0.192,0,96.0,1,1,2
SMALL_BLOB,0.376,0,188.0,1,1,2
SMALL_BLOB,0.182,0,91.0,1,1,1
SMALL_BLOB,0.406,0,203.0,1,1,1
LIGHT_TRACK,3.064,3,1545.0,6.5,0.769,20
SMALL_BLOB,0.266,0,133.0,1,1,2
SMALL_BLOB,0.18,0,90.0,1,1,1
SMALL_BLOB,0.082,0,41.0,1,1,1
SMALL_BLOB,0.492,0,246.0,2.0,3.0,3
LIGHT_TRACK,1.369,0,685.0,2.833,1.333,8
SMALL_BLOB,0.184,0,92.0,1,1,1
LIGHT_TRACK,1.142,0,572.0,1,1,6
STRAIGHT_TRACK,2.399,0,1208.0,13.5,1.389,15
STRAIGHT_TRACK,2.135,0,1076.0,12.334,1.157,15
SMALL_BLOB,0.863,0,432.0,1,1,4
LIGHT_TRACK,2.118,3,1060.0,2.143,1.048,11
SMALL_BLOB,0.21,0,105.0,1,1,1
STRAIGHT_TRACK,1.572,0,790.0,9.0,1.174,13
LIGHT_TRACK,3.812,3,1935.0,5.491,0.467,26
SMALL_BLOB,0.2,0,100.0,1,1,2
SMALL_BLOB,0.376,0,188.0,1.0,3.0,3
SMALL_BLOB,0.41,0,205.0,1.0,3.0,3
SMALL_BLOB,0.242,0,121.0,1,1,2
SMALL_BLOB,0.088,0,44.0,1,1,1
LIGHT_TRACK,1.473,0,739.0,7.143,1.163,11
SMALL_BLOB,0.79,0,395.0,2.0,3.0,3
LIGHT_TRACK,3.491,2,1788.0,14.917,0.847,28
STRAIGHT_TRACK,1.742,0,876.0,8.167,1.084,15
SMALL_BLOB,0.1,0,50.0,1,1,1
SMALL_BLOB,0.68,0,340.0,1.0,3.0,3
SMALL_BLOB,0.084,0,42.0,1,1,1
STRAIGHT_TRACK,3.159,0,1609.0,16.7,1.108,25
LIGHT_TRACK,1.02,0,511.0,1,1,6
LIGHT_TRACK,6.245,6,3153.0,2.884,0.186,47
STRAIGHT_TRACK,2.965,0,1501.0,16.666,1.4,21
LIGHT_TRACK,1.128,2,564.0,2.0,3.0,6
SMALL_BLOB,0.112,0,56.0,1,1,1
LIGHT_TRACK,1.371,0,687.0,7.5,1.667,10
SMALL_BLOB,0.994,0,497.0,1.0,3.0,3
LIGHT_TRACK,2.413,2,1208.0,2.286,1.161,10
SMALL_BLOB,0.088,0,44.0,1,1,1
LIGHT_TRACK,1.047,0,524.0,5.333,1.458,7
LIGHT_TRACK,1.571,0,787.0,3.727,0.818,9
LIGHT_TRACK,1.232,0,617.0,5.333,1.458,7
STRAIGHT_TRACK,2.816,0,1425.0,12.937,1.129,21
LIGHT_TRACK,2.957,0,1484.0,2.643,0.314,22
STRAIGHT_TRACK,2.087,0,1047.0,8.0,1.625,13
LIGHT_TRACK,1.14,0,570.0,2.0,2.5,5
SMALL_BLOB,0.372,0,186.0,1,1,2
SMALL_BLOB,0.236,0,118.0,1,1,1
LIGHT_TRACK,0.96,0,480.0,4.0,2.5,5
LIGHT_TRACK,0.952,0,476.0,2.0,2.5,5
LIGHT_TRACK,1.697,0,851.0,7.25,1.345,12
HEAVY_BLOB,2.49,7,1247.0,1.0,0.833,15
LIGHT_TRACK,1.125,0,563.0,3.5,1.786,5
LIGHT_TRACK,1.238,0,620.0,7.0,2.0,7
SMALL_BLOB,1.055,0,528.0,3.0,2.667,4
SMALL_BLOB,0.74,0,370.0,1.0,3.0,3
SMALL_BLOB,0.336,0,168.0,1,1,2
LIGHT_TRACK,0.988,0,494.0,2.0,2.5,5
SMALL_BLOB,0.386,0,193.0,2.0,3.0,3
SMALL_BLOB,0.937,0,469.0,1,1,4
SMALL_BLOB,1.052,0,526.0,1.0,3.0,3
SMALL_BLOB,0.366,0,183.0,1,1,2
LIGHT_TRACK,1.332,0,667.0,5.667,1.569,8
SMALL_BLOB,0.36,0,180.0,1,1,2
SMALL_BLOB,0.2,0,100.0,1,1,1
LIGHT_TRACK,1.47,0,737.0,6.375,1.348,11
SMALL_BLOB,0.404,0,202.0,1,1,2
SMALL_BLOB,0.442,0,221.0,1,1,2
SMALL_BLOB,0.066,0,33.0,1,1,1
LIGHT_TRACK,2.08,2,1040.0,8.0,1.75,14
LIGHT_TRACK,1.416,0,710.0,7.5,1.275,9
SMALL_BLOB,0.935,0,468.0,3.0,2.667,4
SMALL_BLOB,0.778,0,389.0,1,1,3
LIGHT_TRACK,2.805,2,1404.0,3.667,1.288,10
SMALL_BLOB,0.348,0,174.0,1,1,2
SMALL_BLOB,0.494,0,247.0,1.0,3.0,3
LIGHT_TRACK,1.314,0,657.0,4.0,1.75,7
SMALL_BLOB,0.274,0,137.0,1,1,1
LIGHT_TRACK,1.595,0,798.0,3.0,1.667,5
SMALL_BLOB,0.939,0,470.0,1.0,4.0,4
LIGHT_TRACK,2.105,0,1057.0,7.8,1.221,14
MEDIUM_BLOB,1.979,4,990.0,1.0,1.111,10
SMALL_BLOB,0.882,0,441.0,1,1,3
HEAVY_TRACK,5.192,5,2658.0,5.4,0.38,34
LIGHT_TRACK,1.586,0,793.0,3.0,2.0,6
SMALL_BLOB,0.066,0,33.0,1,1,1
LIGHT_TRACK,1.845,1,925.0,5.0,1.122,11
SMALL_BLOB,0.152,0,76.0,1,1,1
LIGHT_TRACK,1.125,0,563.0,4.5,1.653,7
STRAIGHT_TRACK,1.661,0,833.0,8.2,1.415,10
LIGHT_TRACK,1.461,0,733.0,7.833,1.326,11
LIGHT_TRACK,4.945,2,2583.0,11.818,0.505,39
LIGHT_TRACK,1.173,0,587.0,4.333,1.538,6
LIGHT_TRACK,1.103,0,552.0,5.0,1.75,7
HEAVY_TRACK,3.905,9,1965.0,8.0,1.312,21
SMALL_BLOB,0.85,0,425.0,1,1,2
LIGHT_TRACK,1.873,0,943.0,7.0,0.877,17
STRAIGHT_TRACK,2.203,0,1111.0,12.667,1.268,17
LIGHT_TRACK,0.966,0,483.0,4.0,1.5,6
SMALL_BLOB,0.114,0,57.0,1,1,1
SMALL_BLOB,0.296,0,148.0,1,1,2
STRAIGHT_TRACK,1.405,0,704.0,9.0,2.222,10
SMALL_BLOB,0.136,0,68.0,1,1,1
SMALL_BLOB,0.79,0,395.0,1,1,2
LIGHT_TRACK,2.469,1,1235.0,2.0,1.667,6
SMALL_BLOB,0.152,0,76.0,1,1,1
LIGHT_TRACK,1.25,0,626.0,4.25,1.324,9
HEAVY_TRACK,4.878,5,2441.0,2.0,1.375,11
LIGHT_TRACK,1.615,0,809.0,5.75,1.413,10
LIGHT_TRACK,2.721,0,1364.0,1,1,7
SMALL_BLOB,0.272,0,136.0,1,1,1
LIGHT_TRACK,2.81,2,1406.0,2.5,1.6,8
SMALL_BLOB,0.558,0,279.0,3.0,2.667,4
LIGHT_TRACK,1.708,1,857.0,6.334,1.14,13
LIGHT_TRACK,1.419,2,711.0,4.6,1.243,11
STRAIGHT_TRACK,1.544,0,773.0,8.0,1.25,10
LIGHT_TRACK,1.535,0,768.0,4.0,2.5,5
SMALL_BLOB,0.158,0,79.0,1,1,1
LIGHT_TRACK,1.313,0,657.0,4.667,1.667,7
SMALL_BLOB,1.193,0,597.0,3.0,2.667,4
LIGHT_TRACK,4.64,4,2382.0,5.455,0.361,36
SMALL_BLOB,0.044,0,22.0,1,1,1
STRAIGHT_TRACK,1.731,0,867.0,8.0,2.25,9
STRAIGHT_TRACK,1.628,0,817.0,8.667,1.308,12
SMALL_BLOB,0.919,0,460.0,2.0,2.0,4
SMALL_BLOB,0.238,0,119.0,1,1,1
HEAVY_TRACK,1.598,6,799.0,5.0,2.2,11
STRAIGHT_TRACK,1.941,0,975.0,8.5,1.338,14
SMALL_BLOB,0.248,0,124.0,1,1,1
LIGHT_TRACK,1.314,1,657.0,2.0,1.667,6
SMALL_BLOB,0.809,0,405.0,2.5,2.0,4
LIGHT_TRACK,1.023,0,512.0,1,1,5
STRAIGHT_TRACK,1.429,0,717.0,8.666,1.41,11
LIGHT_TRACK,1.211,0,606.0,4.667,1.667,7
LIGHT_TRACK,2.939,4,1473.0,1.208,0.395,22
LIGHT_TRACK,1.524,0,763.0,7.0,2.0,7
STRAIGHT_TRACK,2.938,0,1492.0,13.905,0.965,22
LIGHT_TRACK,1.481,0,741.0,4.0,1.5,6
LIGHT_TRACK,0.843,0,422.0,4.333,1.538,6
LIGHT_TRACK,2.544,2,1273.0,2.667,1.667,8
LIGHT_TRACK,1.249,0,626.0,6.4,1.406,9
LIGHT_TRACK,1.095,0,548.0,5.0,1.75,7
SMALL_BLOB,1.279,0,640.0,3.0,2.667,4
LIGHT_TRACK,1.055,0,528.0,1,1,5
LIGHT_TRACK,1.888,0,944.0,1.0,2.5,5
STRAIGHT_TRACK,3.645,0,1858.0,13.85,0.91,26
LIGHT_TRACK,1.304,0,653.0,4.5,1.444,8
SMALL_BLOB,0.364,0,182.0,1,1,1
LIGHT_TRACK,1.585,2,795.0,5.6,1.207,13
LIGHT_TRACK,1.758,0,881.0,7.25,1.319,9
SMALL_BLOB,0.857,0,429.0,1.0,4.0,4
LIGHT_TRACK,1.579,0,791.0,5.75,1.413,10
LIGHT_TRACK,1.21,0,605.0,5.0,1.4,7
LIGHT_TRACK,1.232,0,617.0,4.4,1.545,10
LIGHT_TRACK,0.843,0,422.0,6.0,1.685,7
LIGHT_TRACK,1.082,0,541.0,2.0,2.5,5
SMALL_BLOB,0.264,0,132.0,1,1,2
SMALL_BLOB,0.218,0,109.0,1,1,1
SMALL_BLOB,1.104,0,552.0,2.0,3.0,3
HEAVY_TRACK,2.789,5,1400.0,3.467,0.697,16
LIGHT_TRACK,1.089,0,545.0,2.75,1.591,7
HEAVY_TRACK,1.79,12,898.0,8.0,2.125,17
LIGHT_TRACK,2.271,0,1140.0,5.231,0.853,13
LIGHT_TRACK,1.528,0,764.0,2.0,2.5,5
LIGHT_TRACK,3.793,0,1928.0,3.552,0.284,25
SMALL_BLOB,0.286,0,143.0,1,1,2
LIGHT_TRACK,1.395,1,698.0,2.333,1.667,7
LIGHT_TRACK,1.696,0,850.0,7.0,1.429,10
SMALL_BLOB,0.895,0,448.0,1.0,4.0,4
SMALL_BLOB,0.896,0,448.0,1,1,3
LIGHT_TRACK,2.465,2,1235.0,3.833,1.036,11
LIGHT_TRACK,3.554,3,1779.0,3.25,0.769,20
LIGHT_TRACK,6.133,0,3244.0,5.714,0.22,45
SMALL_BLOB,0.106,0,53.0,1,1,1
SMALL_BLOB,0.332,0,166.0,1,1,1
SMALL_BLOB,0.302,0,151.0,1,1,2
LIGHT_TRACK,7.538,5,4114.0,3.101,0.108,65
SMALL_BLOB,0.342,0,171.0,2.0,3.0,3
SMALL_BLOB,0.298,0,149.0,1,1,2
LIGHT_TRACK,1.253,2,627.0,5.0,1.8,9
LIGHT_TRACK,1.224,0,612.0,2.0,2.5,5
STRAIGHT_TRACK,2.671,0,1346.0,9.923,1.075,17
LIGHT_TRACK,3.601,4,1825.0,9.25,0.811,24
STRAIGHT_TRACK,1.408,0,706.0,10.0,2.2,11
SMALL_BLOB,0.258,0,129.0,1,1,2
SMALL_BLOB,0.218,0,109.0,1,1,1
